Ticker,Name,Market Cap From (USD),Market Cap To (USD),Absolute Change (USD),Percentage Change (%),Rank From,Rank To,Rank Change,Market Share From (%),Market Share To (%)
TDUP,ThredUp Inc.,156867060.00,1294422142.00,1137555082.00,725.17,121,76,+45,0.0069,0.0620
MGOL,MGO Global Inc. Common Stock,1414197.29,3411030.00,1996832.71,141.20,149,148,+1,0.0001,0.0002
1929.HK,Chow Tai Fook Jewellery Group Limited,8600013304.81,17969872373.89,9369859069.08,108.95,31,18,+13,0.3800,0.8604
REAL,"The RealReal, Inc.",1206272912.00,2243816818.00,1037543906.00,86.01,80,64,+16,0.0533,0.1074
SMCP.PA,SMCP S.a.,321165706.20,596671969.28,275506263.08,85.78,112,99,+13,0.0142,0.0286
MYTE,MYT Netherlands Parent B.V.,619120000.00,1041897337.00,422777337.00,68.29,97,83,+14,0.0274,0.0499
DLTI.TA,Delta Israel Brands Ltd,459030754.51,654737377.85,195706623.34,42.63,104,95,+9,0.0203,0.0313
NXT.MC,"Nueva Expresión Textil, S.A.",148557998.34,210960409.82,62402411.48,42.01,124,117,+7,0.0066,0.0101
FOSL,"Fossil Group, Inc.",88844000.00,126040605.00,37196605.00,41.87,131,126,+5,0.0039,0.0060
URBN,"Urban Outfitters, Inc.",5063809595.00,6928437909.00,1864628314.00,36.82,46,38,+8,0.2237,0.3317
TPR,"Tapestry, Inc.",15123895000.00,19873856100.00,4749961100.00,31.41,22,17,+5,0.6682,0.9516
WWW,"Wolverine World Wide, Inc.",1783304244.00,2314125312.00,530821068.00,29.77,72,62,+10,0.0788,0.1108
VIPS,Vipshop Holdings Limited,7024039260.00,8922921974.00,1898882714.00,27.03,39,30,+9,0.3103,0.4272
LANV,Lanvin Group Holdings Limited,235813199.00,293512430.00,57699231.00,24.47,118,110,+8,0.0104,0.0141
3998.HK,Bosideng International Holdings Limited,5533361993.88,6831135038.74,1297773044.86,23.45,44,39,+5,0.2445,0.3271
NXT.L,NEXT plc,155212916.00,191046985.31,35834069.31,23.09,122,120,+2,0.0069,0.0091
RL,Ralph Lauren Corporation,14366956000.00,17590122772.00,3223166772.00,22.43,24,21,+3,0.6347,0.8422
ATZ.TO,Aritzia Inc.,4370623312.21,5294888123.45,924264811.24,21.15,51,43,+8,0.1931,0.2535
CTAS,Cintas Corporation,73768596300.00,89203210080.00,15434613780.00,20.92,10,10,0,3.2592,4.2710
LEVI,Levi Strauss & Co.,6888635947.00,8201916292.00,1313280345.00,19.06,40,34,+6,0.3043,0.3927
FL,"Foot Locker, Inc.",2065556467.00,2451974343.00,386417876.00,18.71,70,61,+9,0.0913,0.1174
DOCS,"Doximity, Inc.",10056647180.00,11908922231.00,1852275051.00,18.42,26,26,0,0.4443,0.5702
RCKY,"Rocky Brands, Inc.",169837200.00,200375562.00,30538362.00,17.98,120,118,+2,0.0075,0.0096
BRBY.L,Burberry Group plc,47550294.29,54367453.82,6817159.54,14.34,140,137,+3,0.0021,0.0026
CFR.SW,Compagnie Financière Richemont S.A.,96504841477.52,109627375152.95,13122533675.43,13.60,9,7,+2,4.2637,5.2490
EL.PA,EssilorLuxottica S.A.,127173644076.49,144392825936.01,17219181859.52,13.54,6,5,+1,5.6186,6.9135
DDS,"Dillard's, Inc.",6864666000.00,7786671490.00,922005490.00,13.43,41,36,+5,0.3033,0.3728
FRAS.L,Frasers Group plc,36215976.04,41068908.95,4852932.91,13.40,141,140,+1,0.0016,0.0020
BKE,"The Buckle, Inc.",2533081740.00,2868372990.00,335291250.00,13.24,65,58,+7,0.1119,0.1373
VAN.BR,Van de Velde N.V.,448156031.05,500546355.89,52390324.84,11.69,107,104,+3,0.0198,0.0240
GOOS,Canada Goose Holdings Inc.,970150977.00,1080367419.00,110216442.00,11.36,84,80,+4,0.0429,0.0517
MUL.L,Mulberry Group plc,878441.24,970514.31,92073.07,10.48,150,150,0,0.0000,0.0000
2331.HK,Li Ning Company Limited,5421174921.32,5921793747.59,500618826.27,9.23,45,42,+3,0.2395,0.2835
BOOZT.ST,Boozt AB (publ),547608016.39,597802685.80,50194669.41,9.17,101,98,+3,0.0242,0.0286
YOU.DE,ABOUT YOU Holding AG,1298277993.90,1415355635.95,117077642.05,9.02,77,75,+2,0.0574,0.0678
TJX,"The TJX Companies, Inc.",137481780000.00,148321679000.00,10839899000.00,7.88,4,4,0,6.0741,7.1016
BOOT,"Boot Barn Holdings, Inc.",4632028200.00,4964368332.00,332340132.00,7.17,50,45,+5,0.2046,0.2377
GIL.TO,Gildan Activewear Inc.,7891341299.62,8418415613.99,527074314.37,6.68,35,32,+3,0.3486,0.4031
FIGS,"FIGS, Inc.",1053344451.00,1116787327.00,63442876.00,6.02,83,78,+5,0.0465,0.0535
UNF,UniFirst Corporation,3060800100.00,3239815313.00,179015213.00,5.85,59,54,+5,0.1352,0.1551
6110.HK,Topsports International Holdings Limited,2363128384.03,2482094012.94,118965628.90,5.03,68,60,+8,0.1044,0.1188
SVV,"Savers Value Village, Inc.",1648774000.00,1726671378.00,77897378.00,4.72,74,71,+3,0.0728,0.0827
CALN.SW,CALIDA Holding AG,119336635.19,124895790.57,5559155.38,4.66,127,127,0,0.0053,0.0060
KSS,Kohl's Corporation,1558440000.00,1620127320.00,61687320.00,3.96,75,73,+2,0.0689,0.0776
JWN,"Nordstrom, Inc.",3987165000.00,4124015297.00,136850297.00,3.43,52,48,+4,0.1762,0.1975
BIRD,"Allbirds, Inc.",55466841.00,56943888.00,1477047.00,2.66,137,133,+4,0.0025,0.0027
CPRI,Capri Holdings Limited,2494922854.00,2542865280.00,47942426.00,1.92,66,59,+7,0.1102,0.1218
PUM.DE,PUMA Se,2935315668.21,2989238306.70,53922638.49,1.84,62,55,+7,0.1297,0.1431
3612.T,"World Co., Ltd.",666050552.50,676565088.93,10514536.44,1.58,95,93,+2,0.0294,0.0324
ADS.DE,adidas AG,34833653368.25,35006634981.12,172981612.88,0.50,13,12,+1,1.5390,1.6761
MEKKO.HE,Marimekko Oyj,587118558.95,589963607.99,2845049.04,0.48,98,100,-2,0.0259,0.0282
FOI-B.ST,Fenix Outdoor International AG,710334889.01,712884800.67,2549911.66,0.36,92,91,+1,0.0314,0.0341
NKE,"NIKE, Inc.",112566692000.00,112821958599.00,255266599.00,0.23,7,6,+1,4.9733,5.4019
RVRC.ST,RVRC Holding AB (publ),518920675.12,520055982.37,1135307.25,0.22,103,103,0,0.0229,0.0249
HM-B.ST,H & M Hennes & Mauritz AB (publ),23834883907.91,23884821516.93,49937609.02,0.21,16,14,+2,1.0530,1.1436
SFL.MI,Safilo Group S.p.A.,648583693.56,648583693.56,0.00,0.00,96,96,0,0.0287,0.0311
SOMA3.SA,Grupo de Moda SOMA S.A.,852796695.50,852796695.50,0.00,0.00,88,89,-1,0.0377,0.0408
MONC.MI,Moncler S.p.A.,14667434552.13,14667434552.13,0.00,0.00,23,23,0,0.6480,0.7023
EXPR,"Express, Inc.",3109396.00,3109396.00,0.00,0.00,148,149,-1,0.0001,0.0001
GRND3.SA,Grendene S.A.,883685961.41,883685961.41,0.00,0.00,86,86,0,0.0390,0.0423
OVS.MI,OVS S.p.A.,1069006055.01,1069006055.01,0.00,0.00,82,81,+1,0.0472,0.0512
WOL.VI,Wolford AG,62197028.60,62197028.60,0.00,0.00,134,131,+3,0.0027,0.0030
TOD.MI,TOD'S S.p.A.,1661850822.34,1661850822.34,0.00,0.00,73,72,+1,0.0734,0.0796
SFER.MI,Salvatore Ferragamo S.p.A.,876905737.06,876905737.06,0.00,0.00,87,87,0,0.0387,0.0420
ALPA4.SA,Alpargatas S.A.,1142337420.90,1142337420.90,0.00,0.00,81,77,+4,0.0505,0.0547
SDRY.L,Superdry plc,44351.88,44351.88,0.00,0.00,151,151,0,0.0000,0.0000
AEF.MI,Aeffe S.p.A.,53498444.17,53498444.17,0.00,0.00,138,138,0,0.0024,0.0026
GEO.MI,Geox S.p.A.,130547571.57,130547571.57,0.00,0.00,126,124,+2,0.0058,0.0063
CHS,"Chico's FAS, Inc.",937038630.00,937038630.00,0.00,0.00,85,85,0,0.0414,0.0449
LREN3.SA,Lojas Renner S.A.,2962773286.76,2962773286.76,0.00,0.00,61,56,+5,0.1309,0.1419
GWI2.DE,GERRY WEBER International AG,29127.17,29127.17,0.00,0.00,152,152,0,0.0000,0.0000
GPS,"The Gap, Inc.",9207895046.00,9207895046.00,0.00,0.00,28,28,0,0.4068,0.4409
BC.MI,Brunello Cucinelli S.p.A.,7666406386.98,7666406386.98,0.00,0.00,36,37,-1,0.3387,0.3671
ECK.DE,LUDWIG BECK am Rathauseck - Textilhaus Feldmeier AG,56581023.74,56581023.74,0.00,0.00,136,134,+2,0.0025,0.0027
LPP.WA,Lpp S.A.,8347445939.75,8347445939.75,0.00,0.00,34,33,+1,0.3688,0.3997
7606.T,United Arrows Ltd.,391502121.47,391500774.32,-1347.15,-0.00,108,107,+1,0.0173,0.0187
9983.T,"Fast Retailing Co., Ltd.",102796404560.91,102794472312.57,-1932248.34,-0.00,8,8,0,4.5416,4.9218
8016.T,"Onward Holdings Co., Ltd.",584714503.12,584669445.12,-45057.99,-0.01,99,101,-2,0.0258,0.0280
BOSS.DE,Hugo Boss AG,3337501115.15,3329912412.77,-7588702.38,-0.23,55,53,+2,0.1475,0.1594
7936.T,ASICS Corporation,20701582447.44,20652086438.37,-49496009.07,-0.24,17,16,+1,0.9146,0.9888
LINDEX.HE,Lindex Group Oyj,556077686.47,550151948.01,-5925738.47,-1.07,100,102,-2,0.0246,0.0263
UHR.SW,The Swatch Group AG,8996263853.76,8885490932.11,-110772921.66,-1.23,30,31,-1,0.3975,0.4254
BORG.ST,Björn Borg AB (publ),152850303.95,150482475.36,-2367828.59,-1.55,123,123,0,0.0068,0.0072
