Rank,Ticker,Name,Market Cap (Original),Original Currency,Market Cap (EUR),Market Cap (USD),Price,Exchange,Active,Description,Homepage URL,Employees,Date
1,RMS.PA,Hermès International Société en commandite par actions,242562088080,EUR,242562088080,283535854399.23315,0,PAR,true,,,,2025-07-01
2,MC.PA,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",234249440160,EUR,234249440160,273819027878.75952,0,PAR,true,,,,2025-07-01
3,ITX.MC,"Industria de Diseño Textil, S.A.",138223110060,EUR,138223110060,161571859472.34918,0,BME,true,,,,2025-07-01
4,TJX,"The TJX Companies, Inc.",141681120000,USD,121206781348.8,141681120000,0,NYSE,true,,,,2025-07-01
5,EL.PA,EssilorLuxottica S.A.,108472533544,EUR,108472533544,126795793690.16586,0,PAR,true,,,,2025-07-01
6,NKE,"NIKE, Inc.",108404547000,USD,92739005913.03,108404547000,0,NYSE,true,,,,2025-07-01
7,9983.T,"Fast Retailing Co., Ltd.",14560063560000,JPY,84756022791.0228,99073662307.2631,0,JPX,true,,,,2025-07-01
8,CDI.PA,Christian Dior SE,80427036564,EUR,80427036564,94012830733.26398,0,PAR,true,,,,2025-07-01
9,CTAS,Cintas Corporation,90489345720,USD,77412730370.00279,90489345720,0,NASDAQ,true,,,,2025-07-01
10,ADS.DE,adidas AG,36816821120,EUR,36816821120,43035945621.80738,0,XETRA,true,,,,2025-07-01
11,ROST,"Ross Stores, Inc.",42224263690,USD,36122435344.1581,42224263690,0,NASDAQ,true,,,,2025-07-01
12,LULU,Lululemon Athletica Inc.,29569315840,USD,25296254007.961597,29569315840,0,NASDAQ,true,,,,2025-07-01
13,CFR.SW,Compagnie Financière Richemont S.A.,23320183423,CHF,24758661665.781933,28940052150.010548,0,SIX,true,,,,2025-07-01
14,KER.PA,Kering S.A.,23971083015,EUR,23971083015,28020295988.264034,0,PAR,true,,,,2025-07-01
15,HM-B.ST,H & M Hennes & Mauritz AB (publ),218050326900,SEK,19513328115.28754,22810592017.926243,0,STO,true,,,,2025-07-01
16,TPR,"Tapestry, Inc.",18022662000,USD,15418207114.38,18022662000,0,NYSE,true,,,,2025-07-01
