Ticker,Company Name,Market Cap Previous Month (EUR),Market Cap Latest Month (EUR),Difference (EUR),Difference (%),Previous Month Date,Latest Month Date
9983.T,"Fast Retailing Co., Ltd.",14611321316844.00,14611321316844.00,0.00,0.00%,2024-11-30,2024-12-31
7936.T,ASICS Corporation,2421008005360.60,2421008005360.60,0.00,0.00%,2024-11-30,2024-12-31
MC.PA,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",359312655729.74,317453571025.00,-41859084704.74,-11.65%,2024-11-30,2024-12-31
ABFRL.NS,Aditya Birla Fashion and Retail Limited,290633228633.92,287528756848.00,-3104471785.92,-1.07%,2024-11-30,2024-12-31
RMS.PA,Hermès International Société en commandite par actions,265565762697.09,243235154070.00,-22330608627.09,-8.41%,2024-11-30,2024-12-31
HM-B.ST,H & M Hennes & Mauritz AB (publ),229123523519.14,229123523519.14,0.00,0.00%,2024-11-30,2024-12-31
ITX.MC,"Industria de Diseño Textil, S.A.",144195261598.46,154532774000.00,10337512401.54,7.17%,2024-11-30,2024-12-31
1913.HK,Prada S.p.A.,155264264195.04,153913412350.00,-1350851845.04,-0.87%,2024-11-30,2024-12-31
TJX,"The TJX Companies, Inc.",133125566902.27,136152870000.00,3027303097.73,2.27%,2024-11-30,2024-12-31
NKE,"NIKE, Inc.",106264209010.48,112506156000.00,6241946989.52,5.87%,2024-11-30,2024-12-31
CDI.PA,Christian Dior SE,118835909100.14,109148400900.00,-9687508200.14,-8.15%,2024-11-30,2024-12-31
ARVIND.NS,Arvind Limited,89366941486.06,107496000180.00,18129058693.94,20.29%,2024-11-30,2024-12-31
EL.PA,EssilorLuxottica SA,111833729610.21,106510577628.00,-5323151982.21,-4.76%,2024-11-30,2024-12-31
PPH.JO,Pepkor Holdings Limited,91142426793.60,106122980000.00,14980553206.40,16.44%,2024-11-30,2024-12-31
CFR.SW,Compagnie Financière Richemont SA,96097490534.29,96097490534.29,0.00,0.00%,2024-11-30,2024-12-31
3612.T,"World Co., Ltd.",81167685601.40,81167685601.40,0.00,0.00%,2024-11-30,2024-12-31
8016.T,"Onward Holdings Co., Ltd.",80167571565.78,80167571565.78,0.00,0.00%,2024-11-30,2024-12-31
